idx,idx_Top10,idx_original,Original_ID,synset,Name,ILSVRC2012_ID,WNID,Words,Img_Name,HHI_Score,Top3_sum,Top5_sum,child,L1.class,L2.class,L3.class,L4.class,L5.class
12,96,99,52,n02415577,Bighorn,52,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",ILSVRC2012_val_00000100.JPEG,7776.818323,91.5589307,93.0323849,Bighorn,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
13,98,101,200,n02087394,Rhodesian Ridgeback,200,n02087394,Rhodesian ridgeback,ILSVRC2012_val_00000102.JPEG,2825.111691,75.1211157,77.5212872,Rhodesian_Ridgeback,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
14,103,106,602,n01770081,Harvestman,602,n01770081,"harvestman, daddy longlegs, Phalangium opilio",ILSVRC2012_val_00000107.JPEG,8118.821571,90.26161558,90.38722294,Harvestman,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
15,107,110,617,n01983481,American Lobster,617,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",ILSVRC2012_val_00000111.JPEG,9694.075376,98.9374056,99.15924061,American_Lobster,entity.n.01,physical_entity.n.01,matter.n.03,solid.n.01,food.n.02
16,108,111,901,n03937543,Pill Bottle,901,n03937543,pill bottle,ILSVRC2012_val_00000112.JPEG,1196.816261,52.554462,60.0310502,Pill_Bottle,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
17,109,112,184,n02105412,Kelpie,184,n02105412,kelpie,ILSVRC2012_val_00000113.JPEG,6164.746549,95.375613,96.54923355,Kelpie,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
18,110,113,513,n03843555,Oil Filter,513,n03843555,oil filter,ILSVRC2012_val_00000114.JPEG,2857.527429,76.482416,80.4876367,Oil_Filter,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
19,116,119,598,n03733131,Maypole,598,n03733131,maypole,ILSVRC2012_val_00000120.JPEG,9926.753441,99.66918156,99.67736686,Maypole,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
20,128,132,34,n02117135,Hyena,34,n02117135,"hyena, hyaena",ILSVRC2012_val_00000133.JPEG,9070.944622,98.85702557,98.90805184,Hyena,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
21,144,149,366,n09332890,Lakeside,366,n09332890,"lakeside, lakeshore",ILSVRC2012_val_00000150.JPEG,2455.374774,72.641871,75.3554538,Lakeside,entity.n.01,physical_entity.n.01,object.n.01,geological_formation.n.01,shore.n.01
22,147,152,464,n01677366,Common Iguana,464,n01677366,"common iguana, iguana, Iguana iguana",ILSVRC2012_val_00000153.JPEG,8460.85027,94.40742378,94.56591814,Common_Iguana,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
23,150,155,58,n02114855,Coyote,58,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",ILSVRC2012_val_00000156.JPEG,4775.270135,84.5218277,85.87428553,Coyote,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
24,157,162,946,n03733805,Measuring Cup,946,n03733805,measuring cup,ILSVRC2012_val_00000163.JPEG,9997.012929,99.9962679,99.99739204,Measuring_Cup,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
25,167,172,829,n03775546,Mixing Bowl,829,n03775546,mixing bowl,ILSVRC2012_val_00000173.JPEG,9214.733948,96.07006139,96.12151674,Mixing_Bowl,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
26,171,176,434,n02027492,Red-Backed Sandpiper,434,n02027492,"red-backed sandpiper, dunlin, Erolia alpina",ILSVRC2012_val_00000177.JPEG,9128.136674,95.72334732,95.77524292,Red-Backed_Sandpiper,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
27,173,178,39,n02389026,Sorrel,39,n02389026,sorrel,ILSVRC2012_val_00000179.JPEG,8599.172736,93.34786542,93.77014798,Sorrel,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
28,176,181,662,n03259280,Dutch Oven,662,n03259280,Dutch oven,ILSVRC2012_val_00000182.JPEG,3463.153623,73.657347,82.3176958,Dutch_Oven,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
29,180,185,153,n02128757,Snow Leopard,153,n02128757,"snow leopard, ounce, Panthera uncia",ILSVRC2012_val_00000186.JPEG,8397.795489,93.75319134,94.04654236,Snow_Leopard,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
30,182,187,58,n02114855,Coyote,58,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",ILSVRC2012_val_00000188.JPEG,7970.355838,92.144805,93.39338807,Coyote,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
31,186,191,306,n03891251,Park Bench,306,n03891251,park bench,ILSVRC2012_val_00000192.JPEG,3373.689056,69.0871775,74.1792528,Park_Bench,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
32,195,200,527,n03891332,Parking Meter,527,n03891332,parking meter,ILSVRC2012_val_00000201.JPEG,9928.486864,99.6716423,99.67956736,Parking_Meter,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
33,198,204,516,n04330267,Stove,516,n04330267,stove,ILSVRC2012_val_00000205.JPEG,401.1770944,30.191722,38.7960324,Stove,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
34,200,206,441,n02058221,Albatross,441,n02058221,"albatross, mollymawk",ILSVRC2012_val_00000207.JPEG,1697.338043,59.289363,67.7375904,Albatross,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
35,204,210,95,n02123597,Siamese Cat,95,n02123597,"Siamese cat, Siamese",ILSVRC2012_val_00000211.JPEG,9019.468828,95.26137909,95.3448177,Siamese_Cat,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
36,210,216,392,n01560419,Bulbul,392,n01560419,bulbul,ILSVRC2012_val_00000217.JPEG,9378.627273,97.05479969,97.13955315,Bulbul,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
37,214,221,764,n03777754,Modem,764,n03777754,modem,ILSVRC2012_val_00000222.JPEG,9645.103142,98.87038767,99.07932711,Modem,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
38,216,223,192,n02100877,Irish Setter,192,n02100877,"Irish setter, red setter",ILSVRC2012_val_00000224.JPEG,3176.584828,77.3141799,80.981268,Irish_Setter,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
39,217,224,494,n01629819,European Fire Salamander,494,n01629819,"European fire salamander, Salamandra salamandra",ILSVRC2012_val_00000225.JPEG,8569.185095,94.44891238,94.53872669,European_Fire_Salamander,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
40,219,226,150,n02101388,Brittany Spaniel,150,n02101388,Brittany spaniel,ILSVRC2012_val_00000227.JPEG,8353.938593,94.857205,95.04315606,Brittany_Spaniel,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
41,226,234,365,n09256479,Coral Reef,365,n09256479,coral reef,ILSVRC2012_val_00000235.JPEG,9040.983974,97.08856344,97.49798248,Coral_Reef,entity.n.01,physical_entity.n.01,object.n.01,geological_formation.n.01,natural_elevation.n.01
42,231,239,994,n03888605,Parallel Bars,994,n03888605,"parallel bars, bars",ILSVRC2012_val_00000240.JPEG,5228.057976,90.265899,92.37324172,Parallel_Bars,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
43,233,241,104,n02480855,Gorilla,104,n02480855,"gorilla, Gorilla gorilla",ILSVRC2012_val_00000242.JPEG,7876.885092,90.09338583,90.88936625,Gorilla,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
44,250,258,984,n03729826,Matchstick,984,n03729826,matchstick,ILSVRC2012_val_00000259.JPEG,8697.945543,94.54795379,94.75066438,Matchstick,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
45,252,260,711,n04462240,Toyshop,711,n04462240,toyshop,ILSVRC2012_val_00000261.JPEG,3851.489184,83.775664,88.1948994,Toyshop,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
46,261,269,361,n09193705,Alp,361,n09193705,alp,ILSVRC2012_val_00000270.JPEG,249.4450935,22.7537057,30.2526089,Alp,entity.n.01,physical_entity.n.01,object.n.01,geological_formation.n.01,natural_elevation.n.01
47,262,270,680,n04311004,Steel Arch Bridge,680,n04311004,steel arch bridge,ILSVRC2012_val_00000271.JPEG,9766.154686,99.17111874,99.19354081,Steel_Arch_Bridge,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
48,263,271,718,n02788148,Bannister,718,n02788148,"bannister, banister, balustrade, balusters, handrail",ILSVRC2012_val_00000272.JPEG,9988.480961,99.99628089,99.99647034,Bannister,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
49,267,275,496,n01631663,Eft,496,n01631663,eft,ILSVRC2012_val_00000276.JPEG,9365.162489,97.83996761,97.88344228,Eft,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
50,273,281,961,n03595614,Jersey,961,n03595614,"jersey, T-shirt, tee shirt",ILSVRC2012_val_00000282.JPEG,9400.374718,97.68915102,97.75207158,Jersey,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
51,277,286,518,n02794156,Barometer,518,n02794156,barometer,ILSVRC2012_val_00000287.JPEG,6050.569485,78.19402913,78.43662263,Barometer,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
52,279,288,246,n02687172,Aircraft Carrier,246,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier",ILSVRC2012_val_00000289.JPEG,5653.836717,77.6267667,78.88566751,Aircraft_Carrier,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
53,280,289,528,n04328186,Stopwatch,528,n04328186,"stopwatch, stop watch",ILSVRC2012_val_00000290.JPEG,3420.284164,86.301478,86.76765132,Stopwatch,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
54,283,292,449,n01440764,Tench,449,n01440764,"tench, Tinca tinca",ILSVRC2012_val_00000293.JPEG,1666.05244,59.600148,83.511905,Tench,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
55,289,298,601,n01768244,Trilobite,601,n01768244,trilobite,ILSVRC2012_val_00000299.JPEG,8798.637776,93.99503858,94.07345469,Trilobite,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
56,292,301,673,n02939185,Caldron,673,n02939185,"caldron, cauldron",ILSVRC2012_val_00000302.JPEG,5082.253665,93.467953,95.9926733,Caldron,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
57,297,307,592,n03590841,Jack-O'-Lantern,592,n03590841,jack-o'-lantern,ILSVRC2012_val_00000308.JPEG,9012.280603,95.05803556,95.11497798,Jack-O'-Lantern,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
58,304,314,341,n02787622,Banjo,341,n02787622,banjo,ILSVRC2012_val_00000315.JPEG,7220.16058,91.5859555,92.7461909,Banjo,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
59,308,318,215,n01872401,Echidna,215,n01872401,"echidna, spiny anteater, anteater",ILSVRC2012_val_00000319.JPEG,9307.835196,96.60984163,96.67161324,Echidna,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
60,311,321,44,n02445715,Skunk,44,n02445715,"skunk, polecat, wood pussy",ILSVRC2012_val_00000322.JPEG,9764.01953,98.91290398,98.94632617,Skunk,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
61,314,324,809,n04141327,Scabbard,809,n04141327,scabbard,ILSVRC2012_val_00000325.JPEG,9034.918469,99.53302223,99.58369194,Scabbard,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
62,316,326,42,n02089078,Black-And-Tan Coonhound,42,n02089078,black-and-tan coonhound,ILSVRC2012_val_00000327.JPEG,4343.20877,85.368351,90.1632373,Black-And-Tan_Coonhound,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
63,317,327,397,n01608432,Kite,397,n01608432,kite,ILSVRC2012_val_00000328.JPEG,9292.81645,96.90577089,97.13838988,Kite,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
64,322,333,923,n03976657,Pole,923,n03976657,pole,ILSVRC2012_val_00000334.JPEG,1376.01011,53.7043367,56.1339769,Pole,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
65,323,334,843,n03902125,Pay-Phone,843,n03902125,"pay-phone, pay-station",ILSVRC2012_val_00000335.JPEG,7173.857617,99.1501224,99.48071979,Pay-Phone,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
66,324,335,820,n02909870,Bucket,820,n02909870,"bucket, pail",ILSVRC2012_val_00000336.JPEG,8325.992962,94.473506,94.68647577,Bucket,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
67,330,342,186,n02437616,Llama,186,n02437616,llama,ILSVRC2012_val_00000343.JPEG,9956.674465,99.83504748,99.84586632,Llama,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
68,332,344,593,n04286575,Spotlight,593,n04286575,"spotlight, spot",ILSVRC2012_val_00000345.JPEG,910.3242191,38.0359883,45.9077633,Spotlight,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
69,341,353,296,n02804414,Bassinet,296,n02804414,bassinet,ILSVRC2012_val_00000354.JPEG,9800.707752,99.51218052,99.52248646,Bassinet,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
70,343,355,425,n02007558,Flamingo,425,n02007558,flamingo,ILSVRC2012_val_00000356.JPEG,7709.983158,91.2906103,92.19407427,Flamingo,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
71,351,364,284,n03796401,Moving Van,284,n03796401,moving van,ILSVRC2012_val_00000365.JPEG,4324.451653,92.79818717,92.92367988,Moving_Van,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
72,354,367,769,n03998194,Prayer Rug,769,n03998194,"prayer rug, prayer mat",ILSVRC2012_val_00000368.JPEG,8876.097553,94.53630267,94.63925465,Prayer_Rug,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
73,369,382,97,n02105505,Komondor,97,n02105505,komondor,ILSVRC2012_val_00000383.JPEG,8863.053546,94.49621074,94.59532326,Komondor,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
74,377,390,88,n02094114,Norfolk Terrier,88,n02094114,Norfolk terrier,ILSVRC2012_val_00000391.JPEG,8580.298318,94.92915393,95.48403809,Norfolk_Terrier,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
75,383,396,970,n04409515,Tennis Ball,970,n04409515,tennis ball,ILSVRC2012_val_00000397.JPEG,5233.133652,89.7324223,90.43664345,Tennis_Ball,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
76,385,398,151,n02113799,Standard Poodle,151,n02113799,standard poodle,ILSVRC2012_val_00000399.JPEG,9334.811894,97.10670704,97.16670959,Standard_Poodle,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
77,399,412,574,n04355933,Sunglass,574,n04355933,sunglass,ILSVRC2012_val_00000413.JPEG,53.04275235,10.1749932,13.9097002,Sunglass,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
78,407,420,310,n04099969,Rocking Chair,310,n04099969,"rocking chair, rocker",ILSVRC2012_val_00000421.JPEG,8521.421863,92.42890103,92.51802568,Rocking_Chair,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
79,409,422,735,n07720875,Bell Pepper,735,n07720875,bell pepper,ILSVRC2012_val_00000423.JPEG,6558.883599,96.73847178,96.83590456,Bell_Pepper,entity.n.01,physical_entity.n.01,matter.n.03,solid.n.01,food.n.02
80,416,429,599,n03794056,Mousetrap,599,n03794056,mousetrap,ILSVRC2012_val_00000430.JPEG,9999.938,99.99973983,99.9997747,Mousetrap,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
81,419,433,284,n03796401,Moving Van,284,n03796401,moving van,ILSVRC2012_val_00000434.JPEG,5369.453767,87.47740893,87.88921329,Moving_Van,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
82,423,437,888,n03938244,Pillow,888,n03938244,pillow,ILSVRC2012_val_00000438.JPEG,9173.307915,96.24053156,96.57247038,Pillow,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
83,428,442,744,n07718747,Artichoke,744,n07718747,"artichoke, globe artichoke",ILSVRC2012_val_00000443.JPEG,5079.740015,88.4617991,88.8457191,Artichoke,entity.n.01,physical_entity.n.01,matter.n.03,solid.n.01,food.n.02
84,429,443,9,n02417914,Ibex,9,n02417914,"ibex, Capra ibex",ILSVRC2012_val_00000444.JPEG,9875.779847,99.5271644,99.5381042,Ibex,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
85,430,444,995,n03355925,Flagpole,995,n03355925,"flagpole, flagstaff",ILSVRC2012_val_00000445.JPEG,9998.591058,99.99690067,99.99714994,Flagpole,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
86,436,450,659,n03584829,Iron,659,n03584829,"iron, smoothing iron",ILSVRC2012_val_00000451.JPEG,9545.70823,99.26369266,99.33592703,Iron,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
87,438,452,997,n04116512,Rubber Eraser,997,n04116512,"rubber eraser, rubber, pencil eraser",ILSVRC2012_val_00000453.JPEG,9798.287565,99.07522887,99.10578585,Rubber_Eraser,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
88,441,455,162,n02408429,Water Buffalo,162,n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",ILSVRC2012_val_00000456.JPEG,4927.547021,73.9345297,75.86084395,Water_Buffalo,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
89,447,461,99,n02085782,Japanese Spaniel,99,n02085782,Japanese spaniel,ILSVRC2012_val_00000462.JPEG,7479.97632,89.55481394,89.80928507,Japanese_Spaniel,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
90,454,469,435,n02028035,Redshank,435,n02028035,"redshank, Tringa totanus",ILSVRC2012_val_00000470.JPEG,7528.657592,86.95032193,87.08715009,Redshank,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
91,457,472,570,n04067472,Reel,570,n04067472,reel,ILSVRC2012_val_00000473.JPEG,892.5051167,48.443019,60.037966,Reel,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
92,465,480,169,n02510455,Giant Panda,169,n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",ILSVRC2012_val_00000481.JPEG,7995.723329,92.17532994,92.56833936,Giant_Panda,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
93,469,484,545,n03126707,Crane,545,n03126707,crane,ILSVRC2012_val_00000485.JPEG,1898.303038,60.244414,71.0335206,Crane,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
94,470,485,137,n02486410,Baboon,137,n02486410,baboon,ILSVRC2012_val_00000486.JPEG,9613.735003,98.85872576,98.95067395,Baboon,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
95,471,486,11,n02125311,Cougar,11,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",ILSVRC2012_val_00000487.JPEG,6089.099238,88.7031705,90.94799753,Cougar,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
96,475,490,830,n07875152,Potpie,830,n07875152,potpie,ILSVRC2012_val_00000491.JPEG,8674.589415,94.6422342,94.94043929,Potpie,entity.n.01,physical_entity.n.01,matter.n.03,substance.n.07,food.n.01
97,476,491,441,n02058221,Albatross,441,n02058221,"albatross, mollymawk",ILSVRC2012_val_00000492.JPEG,3059.036641,60.3443621,63.4561548,Albatross,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
98,480,495,6,n02066245,Grey Whale,6,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",ILSVRC2012_val_00000496.JPEG,9577.761996,98.24295428,98.35031251,Grey_Whale,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
99,482,497,495,n01630670,Common Newt,495,n01630670,"common newt, Triturus vulgaris",ILSVRC2012_val_00000498.JPEG,7972.749644,95.44017063,95.59344586,Common_Newt,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
100,491,506,141,n02104029,Kuvasz,141,n02104029,kuvasz,ILSVRC2012_val_00000507.JPEG,1926.381193,59.2038074,67.2226257,Kuvasz,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
101,494,510,18,n02089867,Walker Hound,18,n02089867,"Walker hound, Walker foxhound",ILSVRC2012_val_00000511.JPEG,6529.244364,85.5345858,88.7341158,Walker_Hound,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
102,498,514,542,n04008634,Projectile,542,n04008634,"projectile, missile",ILSVRC2012_val_00000515.JPEG,5170.454558,98.60510585,98.65806652,Projectile,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
103,499,516,62,n02119022,Red Fox,62,n02119022,"red fox, Vulpes vulpes",ILSVRC2012_val_00000517.JPEG,9099.850149,97.05891408,97.14498635,Red_Fox,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
104,501,518,661,n03761084,Microwave,661,n03761084,"microwave, microwave oven",ILSVRC2012_val_00000519.JPEG,3271.772779,67.0492585,69.6316052,Microwave,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
105,505,522,464,n01677366,Common Iguana,464,n01677366,"common iguana, iguana, Iguana iguana",ILSVRC2012_val_00000523.JPEG,8823.880487,96.32973985,96.43615709,Common_Iguana,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
106,509,526,747,n04209239,Shower Curtain,747,n04209239,shower curtain,ILSVRC2012_val_00000527.JPEG,1464.993769,62.685494,72.2255831,Shower_Curtain,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
107,512,530,114,n02107574,Greater Swiss Mountain Dog,114,n02107574,Greater Swiss Mountain dog,ILSVRC2012_val_00000531.JPEG,5148.568587,84.5807028,85.09501701,Greater_Swiss_Mountain_Dog,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
108,516,534,957,n04336792,Stretcher,957,n04336792,stretcher,ILSVRC2012_val_00000535.JPEG,8405.74885,93.17663607,94.04525607,Stretcher,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
109,517,535,168,n02112137,Chow,168,n02112137,"chow, chow chow",ILSVRC2012_val_00000536.JPEG,9313.649345,96.61027228,96.68317833,Chow,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
110,521,539,915,n03825788,Nipple,915,n03825788,nipple,ILSVRC2012_val_00000540.JPEG,9606.019814,98.87436019,98.93945593,Nipple,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
111,523,541,799,n03250847,Drumstick,799,n03250847,drumstick,ILSVRC2012_val_00000542.JPEG,9728.659384,99.15649553,99.40273421,Drumstick,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,artifact.n.01
112,532,550,358,n12057211,Yellow Lady'S Slipper,358,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",ILSVRC2012_val_00000551.JPEG,9995.486511,99.97912387,99.97969969,Yellow_Lady'S_Slipper,entity.n.01,physical_entity.n.01,object.n.01,whole.n.02,living_thing.n.01
